Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $)
Malawi,2023.0,12712150082.0,1.892457988,602.3436198
Malaysia,2021.0,373785000000.0,3.315349544,10903.11164
Malaysia,2022.0,407606000000.0,8.861821876,11748.09193
Malaysia,2023.0,399705000000.0,3.555487154,11379.0861
Maldives,2021.0,5252457370.0,37.50787012,10176.14388
Maldives,2022.0,6177118114.0,13.82608952,11786.00915
Maldives,2023.0,6590894302.0,4.72639189,12530.36024
Malta,2021.0,19718565605.0,13.4603052,38027.38017
Malta,2022.0,19209979975.0,4.147882816,36142.20585
Malta,2023.0,22328640242.0,7.498512459,40395.76921
Mauritius,2021.0,11484348858.0,3.403798662,9068.973002
Mauritius,2022.0,12927979286.0,8.879885197,10239.79705
Mauritius,2023.0,14644524819.0,6.958287403,11613.04416
Mexico,2021.0,1316570000000.0,6.048483443,10314.05067
Mexico,2022.0,1464310000000.0,3.689111093,11385.40708
Mexico,2023.0,1789110000000.0,3.199981166,13790.02434
Moldova,2021.0,13691869264.0,13.92999979,5274.605822
Moldova,2022.0,14510490660.0,-5.015482319,5738.424735
Moldova,2023.0,16539436547.0,0.78324271,6729.412868
Mongolia,2021.0,15286441738.0,1.636769577,4517.61578
Mongolia,2022.0,17146471714.0,5.032709637,4993.514875
Mongolia,2023.0,20325121394.0,7.422112762,5838.631081
Morocco,2021.0,142022000000.0,8.154738898,3785.936279
Morocco,2022.0,130952000000.0,1.52720358,3455.39624
Morocco,2023.0,144417000000.0,3.403341301,3771.446289
Nepal,2021.0,36924841394.0,4.838149614,1252.750767
Nepal,2022.0,41182939601.0,5.631314559,1385.910663
Nepal,2023.0,40908073367.0,1.952544633,1377.626036
Netherlands,2021.0,1054470000000.0,6.276830732,60141.98809
Netherlands,2022.0,1046540000000.0,5.00723459,59123.31856
Netherlands,2023.0,1154360000000.0,0.074560722,64572.00596
New Zealand,2021.0,253644000000.0,4.546247639,49624.18167
New Zealand,2022.0,246734000000.0,2.774842648,48216.50958
New Zealand,2023.0,252176000000.0,0.733302172,48280.81142
Nicaragua,2021.0,14144060853.0,10.31609128,2128.609806
Nicaragua,2022.0,15649897117.0,3.752284757,2325.167379
Nicaragua,2023.0,17829218219.0,4.569223171,2612.870662
Nigeria,2021.0,440834000000.0,3.647186541,2017.274865
Nigeria,2022.0,477403000000.0,3.251681408,2139.374785
Nigeria,2023.0,363846000000.0,2.860214991,1596.636961
North Macedonia,2021.0,14000283827.0,4.51067949,7620.80297
North Macedonia,2022.0,13932436550.0,2.758884153,7606.237525
North Macedonia,2023.0,15763621848.0,2.072749779,8624.293609
Norway,2021.0,503368000000.0,3.908686777,93072.89251
Norway,2022.0,593727000000.0,3.005635161,108798.4512
Norway,2023.0,485311000000.0,0.479647246,87925.09442
Pakistan,2021.0,348517000000.0,6.513885759,1455.319224
Pakistan,2022.0,374890000000.0,4.778106869,1538.322813
Pakistan,2023.0,337912000000.0,-0.039692523,1365.277432
Papua New Guinea,2021.0,26109413522.0,-0.511353444,2607.578619
Papua New Guinea,2022.0,31647277767.0,5.707584118,3101.710632
Papua New Guinea,2023.0,30729242919.0,3.035704755,2957.682625
Paraguay,2021.0,39950899939.0,4.016737318,5976.931798
Paraguay,2022.0,41952910858.0,0.176038366,6205.625954
Paraguay,2023.0,42956263544.0,4.714124079,6276.351139
Peru,2021.0,226354000000.0,13.35522951,6826.972007
Peru,2022.0,246489000000.0,2.725500216,7363.272069
Peru,2023.0,267603000000.0,-0.550182306,7906.585029
Philippines,2021.0,394087000000.0,5.714733134,3484.385939
Philippines,2022.0,404353000000.0,7.580982128,3548.069306
