Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $),Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",Fossil fuel energy consumption (% of total) ,Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
Burkina Faso,2021,19697516284.0,6.942524926,895.5352884,15.8,19.0,,67.6,129.709864992171,44.462168837473,6176046.0,3.9516499042511,7.78822994232178,16.0786800384521,,,16.136360168457,27.6204204559326,1.17656004428864,24.89,96.8262116284175,8.62379397927597,3.65353287214209
Burkina Faso,2022,18820218691.0,1.497239741,836.1183046,17.2,19.5,3.4,60.5,131.191746177691,44.3312480834503,6091676.0,3.08928656578064,10.0773801803589,16.5051612854004,1.2442010641098,3.54773354530334,18.5023212432861,32.9421081542969,1.12409460544586,24.03,101.354188147324,8.62113509852307,14.2902354303358
Burkina Faso,2023,20324617845.0,2.960181474,882.6898101,,21.7,,,,44.3404027633015,6287117.0,3.28579998016357,7.32211780548096,12.996654510498,3.0525643825531,7.01173877716064,14.5982427597046,23.6655311584473,1.44820284843445,,107.097730096299,,0.742910428668841
Cambodia,2021,36790163687.0,3.089842841,2167.403242,47.2,82.5,77.1,98.9,725.390524089204,48.2283721430601,9341945.0,6.1717700958252,16.44873046875,29.0128993988037,4.16995286941528,7.72569990158081,35.2416610717773,52.8918418884277,3.23664999008179,55.82,99.7543374472379,1.85235096785957,2.92073477592949
Cambodia,2022,39994532960.0,5.103368887,2325.0305,53.5,92.3,88.0,99.0,813.232441120437,48.0629233888112,9572466.0,,,,,,,,,54.93,100.512003543664,,5.34370264895437
Cambodia,2023,42335646896.0,4.960066589,2429.748535,,95.0,93.4,99.5,,48.025143580142,9740379.0,,,,,,,,,,99.6994048931773,,2.12746796594194
Canada,2021,2007470000000.0,5.286956891,52496.84417,100.0,100.0,100.0,100.0,14782.8716127233,47.0485134191502,21005652.0,27.6700000762939,95.6152420043945,96.2860412597656,62.9199981689453,61.4599990844727,95.6152420043945,96.2860412597656,30.8999996185303,76.34,99.9745741467541,5.21937669967861,3.39519318527528
Canada,2022,2161480000000.0,3.819866339,55509.39318,100.0,100.0,100.0,100.0,14591.314180806,47.3471242301123,21456376.0,30.7867393493652,95.9839477539062,96.2347412109375,68.6005935668945,65.8976440429688,95.9839477539062,96.2347412109375,33.855339050293,76.91,99.8449146177304,6.14076007081138,6.80280115341613
Canada,2023,2142470000000.0,1.248927304,53431.18571,,100.0,100.0,100.0,14148.3211494028,47.3398738770956,22197237.0,31.2949733734131,96.0787582397461,96.529296875,69.2165908813477,66.8202056884766,96.0787582397461,96.529296875,34.4267082214355,76.78,100.438395098439,7.43937006784603,3.87900159788426
Chile,2021,315515000000.0,11.33395707,16216.57065,100.0,100.0,100.0,100.0,4306.7208858565,40.920646423243,9171143.0,20.3219699859619,85.0017929077148,88.0690612792969,27.8540439605713,28.0212020874023,90.967399597168,92.8306655883789,18.9309692382812,70.71,100.891280249983,3.54372318434982,4.52456838259144
