Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Cambodia,KHM,2023,YR2023,4056.858663,17.9701,1.03134893,..,..,..,..
Cameroon,CMR,2021,YR2021,115.2100292,10.2313,0.380123049,79.2,24.8,94.7,202844.8
Cameroon,CMR,2022,YR2022,127.7297491,10.8265,0.391799288,..,25,94,202284.8
Cameroon,CMR,2023,YR2023,126.2384047,10.7556,0.379082883,..,..,..,..
Canada,CAN,2021,YR2021,27.50451614,561.6259,14.686922,23.8,100,100,3468911.133
Canada,CAN,2022,YR2022,30.61374838,575.3213,14.77491647,..,100,100,3468541.311
Canada,CAN,2023,YR2023,30.54352877,575.012,14.34025207,..,..,..,..
Cayman Islands,CYM,2021,YR2021,194,0.3381,4.82255948,0,100,100,126.6
Cayman Islands,CYM,2022,YR2022,195.2173913,0.3395,4.7422162,0,100,100,126.4
Cayman Islands,CYM,2023,YR2023,211.3043478,0.358,4.901558093,..,..,..,..
Central African Republic,CAF,2021,YR2021,94.08432977,0.3084,0.060327458,90.9,1.6,34.7,222730
Central African Republic,CAF,2022,YR2022,122.0264317,0.3528,0.06920308,90.9,1.6,34.7,222430
Central African Republic,CAF,2023,YR2023,131.843927,0.3684,0.071500368,..,..,..,..
Chad,TCD,2021,YR2021,832,2.1902,0.122849813,69.9,1.3,43.2,42013.333
Chad,TCD,2022,YR2022,966.8085106,2.507,0.135841619,70,1.3,46.3,40914.444
Chad,TCD,2023,YR2023,994.212766,2.5714,0.133101686,..,..,..,..
Channel Islands,CHI,2021,YR2021,..,..,..,..,100,100,10.2
Channel Islands,CHI,2022,YR2022,..,..,..,..,100,100,..
Channel Islands,CHI,2023,YR2023,..,..,..,..,..,..,..
Chile,CHL,2021,YR2021,168.1547377,89.0743,4.578164622,24.2,100,100,183336.2
Chile,CHL,2022,YR2022,167.4644389,88.845,4.543795654,..,100,100,184565.266
Chile,CHL,2023,YR2023,152.8763453,83.9992,4.272847297,..,..,..,..
China,CHN,2021,YR2021,422.7900552,12621.6147,8.936542171,15.2,100,100,2218577.5
China,CHN,2022,YR2022,418.8638989,12526.8263,8.870590614,..,100,100,2237373.2
China,CHN,2023,YR2023,449.217162,13259.639,9.399266327,..,..,..,..
Colombia,COL,2021,YR2021,64.93791458,87.9477,1.718125396,29.7,100,100,589426.267
Colombia,COL,2022,YR2022,72.0884743,91.7605,1.773562939,..,100,100,587433.389
