Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2386.0346374019,2656.57385905118,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.02191160834397,8.97135284946604,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,15593049846.6468,19531593962.1873,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3639.62137183307,5289.63127112514,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,12974627815.3303,17164361539.0929,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.32633282779997,10.7996389580758,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4374.13683703953,6019.15369598799,..,..
Botswana,BWA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,9.20846267704907,3.24030911209744,..,..
Botswana,BWA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12115807622.9991,13101223231.0675,..,..
Botswana,BWA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5126.41387145976,4983.26663868277,..,..
Botswana,BWA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,11134796491.0209,11967020820.065,..,..
Botswana,BWA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,7.63160889025765,1.71210864079383,..,..
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5578.06730572636,5455.5673993521,..,..
Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.79765815631076,1.36033005651208,..,..
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1849302367272.97,1210328882715.66,..,..
Brazil,BRA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,7115.66316236101,6478.17095886485,..,..
Brazil,BRA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1423738367530.22,1357502629012.39,..,..
Brazil,BRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-1.59432456990189,0.930098504131522,..,..
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9242.57787173242,5775.8395830056,..,..
British Virgin Islands,VGB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
British Virgin Islands,VGB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
British Virgin Islands,VGB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
British Virgin Islands,VGB,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
British Virgin Islands,VGB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..
Brunei Darussalam,BRN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-1.87444817577982,-2.30768589005041,..,..
Brunei Darussalam,BRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12953209542.3624,10270331724.067,..,..
Brunei Darussalam,BRN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,28433.5015553751,22590.7382042589,..,..
Brunei Darussalam,BRN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,11849661773.2026,10204710852.366,..,..
Brunei Darussalam,BRN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-3.18074826341216,-3.24131022899559,..,..
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,31081.4866043489,22736.0067919512,..,..
Bulgaria,BGR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.25985542839298,8.34845051435175,..,..
Bulgaria,BGR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,47989312804.0166,69565093347.5882,..,..
Bulgaria,BGR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5660.1517912012,7645.85339312749,..,..
Bulgaria,BGR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,40888585610.2264,52586214653.6089,..,..
Bulgaria,BGR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.84274443809585,9.23493086224256,..,..
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6643.09588537673,10114.5235213919,..,..
Burkina Faso,BFA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.22169326652313,-5.7023784466183,..,..
Burkina Faso,BFA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11920920681.4628,14738025607.9887,..,..
Burkina Faso,BFA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,529.982214314297,587.451463117572,..,..
Burkina Faso,BFA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,9661290106.53611,12921137681.9765,..,..
Burkina Faso,BFA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.197700854878406,-7.91693544452299,..,..
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,653.937090156577,670.055139103883,..,..
Burundi,BDI,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.4947561995649,0.756301588215024,..,..
Burundi,BDI,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1898861568.50792,1956913335.19449,..,..
Burundi,BDI,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,181.618201727574,182.790634107554,..,..
Burundi,BDI,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1961437530.74443,2369968493.49945,..,..
