Country,Time,Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),Access to electricity (% of population),Gross national expenditure (% of GDP),Interest payments (% of revenue),GDP (Current $),GDP Growth (Yrly %),"Inflation, consumer prices (annual %)"
Bangladesh,2022,83.13,602.674747324137,99.4,106.822881412177,1.7054064505025401,460132000000.0,7.099828776,7.69695437176898
Bangladesh,2023,74.44,1827.426831717758,99.5,105.191686003985,8.84499058780984,437415000000.0,5.77511237,9.8835030377921
Barbados,2021,89.99000000000001,2955.5365363178053,100.0,105.88923033413471,5.49347299694786,5275242050.0,-0.25496588,113.84638691295845
Barbados,2022,16.695,176.69034321965,100.0,99.08496251098795,9.04388356062989,6257303500.0,17.83286303,113.84638691295845
Barbados,2023,16.695,176.69034321965,100.0,99.08496251098795,9.04388356062989,6720733200.0,4.09382011,9.79207077126447
Belgium,2021,67.18,7680.00193333532,100.0,98.1310935941277,3.8028487616935,598494000000.0,6.202554016,2.44024851144084
Belgium,2022,67.09,7282.40331295413,100.0,101.460685561862,3.31026343382765,593439000000.0,4.233431834,9.597511728725
Belgium,2023,69.34,6756.77796580304,100.0,100.599627113335,0.9166458981774386,644783000000.0,1.251700632,4.04901077613941
Bolivia,2021,84.13,833.601399304369,98.6,103.37070474402,9.55409350635954,40406111695.0,6.111372752,0.737383721452275
Bolivia,2022,84.84,859.308409911805,99.9,102.532789066883,5.246275433750525,44008282878.0,3.605680383,1.74632872945969
Bolivia,2023,46.785000000000004,474.5892677663912,99.8,105.393759328364,10.388055939790839,45135398009.0,3.081965241,2.57688800489192
Bosnia and Herzegovina,2021,79.95,3835.85723720279,100.0,113.600640934544,1.51220444054424,23672712242.0,7.38996234,1.98163900587622
Bosnia and Herzegovina,2022,78.81,3772.15191453325,100.0,113.539033702049,1.47421825812242,24534663636.0,4.226811011,14.0208440826771
Bosnia and Herzegovina,2023,61.05,364.560952408552,100.0,114.101310556985,2.01260988789197,27514782476.0,2.211124472,6.1059011284828
Botswana,2021,66.27,1455.7925845357,73.7,102.195108664477,1.70232678290708,18750946600.0,11.92063651,7.24097765588442
Botswana,2022,66.7,1522.19852354121,75.9,95.256192210626,2.18057642885417,20321958850.0,5.486028178,11.665567478802
Botswana,2023,81.475,3786.92178431091,76.0,102.206982230167,5.5572247063173705,19396084498.0,2.73379817,5.0676154934383
Brazil,2021,53.72,2723.96659104663,99.5,99.4374700132333,23.935768122229,1670650000000.0,4.762604379,8.30165975585673
Brazil,2022,51.04,2787.76089640442,100.0,99.5545359694656,25.8537229370519,1951920000000.0,3.016694354,9.28010608956873
Brazil,2023,49.35,2916.48609397384,99.8,97.6333877496451,30.8390881041646,2173670000000.0,2.908480487,4.59356282283204
Bulgaria,2021,65.86,5261.46440772794,99.8,97.5160399961702,1.32799708932145,84417951261.0,7.780614814,3.29774435299515
Bulgaria,2022,68.8,5387.96542212904,100.0,98.8859665999234,1.00199456087962,90642851836.0,4.038777583,15.3252589264366
Bulgaria,2023,27.17,429.98326378350055,100.0,95.897488942343,1.33562637850456,102408000000.0,1.886814839,9.44284140088564
Burkina Faso,2021,24.89,129.709864992171,19.0,96.8262116284175,8.62379397927597,19697516284.0,6.942524926,3.65353287214209
Burkina Faso,2022,24.03,131.191746177691,19.5,101.354188147324,8.62113509852307,18820218691.0,1.497239741,14.2902354303358
Burkina Faso,2023,77.39,3229.5874670254,21.7,107.097730096299,1.717992360034375,20324617845.0,2.960181474,0.742910428668841
