Country,Time,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Electric power consumption (kWh per capita),"Labor force, female (% of total labor force)","Labor force, total","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
Austria,2022,100.0,100.0,100.0,100.0,8260.47675415134,46.7976239861348,4715124.0,10.41277098655701,98.6379013061523,98.4232788085938,34.7421760559082,34.7317581176758,100.0,100.0,9.690834283828739
Austria,2023,92.65,100.0,100.0,100.0,7772.32343246828,46.9103936029029,4762160.0,30.1311836242676,98.7511596679688,98.6837692260742,36.107967376709,36.0802230834961,100.0,100.0,38.1059112548828
Bangladesh,2021,26.4,99.0,98.5,99.7,574.118203146015,35.7881798220608,72755656.0,12.789999961853,45.3600006103516,52.0999984741211,13.5799999237061,22.2700004577637,57.0699996948242,64.25,6.92000007629395
Bangladesh,2022,28.0,99.4,99.2,100.0,602.674747324137,36.5470471565248,74651451.0,10.084264755249,43.232349395752,47.9946060180664,36.277259826660156,37.653730392456055,61.7735824584961,66.9404983520508,5.0764307975769
Bangladesh,2023,55.85,99.5,99.6,99.5,1827.426831717758,36.6680753844261,75834921.0,13.5530648231506,62.7150363922119,71.3472480773926,31.09500026702885,35.91500091552735,72.419677734375,81.2779960632324,10.514810085296615
Barbados,2021,100.0,100.0,100.0,100.0,2955.5365363178053,50.0043904383008,148049.0,11.30118799209595,56.5073585510254,56.6772575378418,6.318285703659075,8.5139398574829,73.2227020263672,75.991886138916,9.24321126937866
Barbados,2022,100.0,100.0,100.0,100.0,176.69034321965,49.6552005549435,147042.0,10.270139694213865,46.170189857482896,56.84068870544435,6.8716084957122945,12.49203729629515,71.83098030090329,83.8852767944336,6.009158492088315
Barbados,2023,99.85,100.0,100.0,100.0,176.69034321965,49.9773073666384,147625.0,10.270139694213865,46.170189857482896,56.84068870544435,6.8716084957122945,12.49203729629515,71.83098030090329,83.8852767944336,6.009158492088315
Belgium,2021,100.0,100.0,100.0,100.0,7680.00193333532,46.6328440425,5217415.0,36.651912689209,87.8339614868164,90.726936340332,42.4268569946289,39.0090293884277,96.453498840332,97.2008895874023,40.3261184692383
Belgium,2022,100.0,100.0,100.0,100.0,7282.40331295413,46.8267617902964,5320795.0,37.4228248596191,88.3022537231445,90.955207824707,43.1228790283203,39.7613945007324,96.2443695068359,97.0625991821289,41.2547912597656
Belgium,2023,99.95,100.0,100.0,100.0,6756.77796580304,46.7787908614179,5367441.0,25.9704971313477,96.16034698486331,96.29983139038085,45.6666145324707,35.224497795104995,98.9306335449219,99.47602462768555,34.744553565979004
Bolivia,2021,88.3,98.6,95.1,100.0,833.601399304369,45.7917932047678,6426918.0,16.2212467193604,58.4099998474121,69.5199966430664,27.6095085144043,27.1238498687744,64.0800018310547,75.1699981689453,16.356761932373
Bolivia,2022,89.1,99.9,95.6,100.0,859.308409911805,45.9980896785561,6569575.0,16.194803237915,56.266300201416,66.4788360595703,30.0802001953125,28.9136924743652,69.5967788696289,81.6292343139648,17.5617389678955
Bolivia,2023,44.849999999999994,99.8,99.6,99.9,474.5892677663912,46.0812854419781,6702504.0,17.4798278808594,57.3912811279297,67.7566680908203,19.979273319244385,30.1847171783447,69.9913635253906,82.5701675415039,18.251895904541
Bosnia and Herzegovina,2021,40.9,100.0,100.0,100.0,3835.85723720279,41.781557149456,1370363.0,11.3161611557007,61.6673622131348,82.3170852661133,19.2820777893066,17.8988666534424,85.3159103393555,95.8196868896484,12.0636463165283
